date,nav,cash,n_pos
2024-08-23,114932.13769900143,94400.32309495746,3
2024-08-26,115192.73053800403,94400.32309495746,3
2024-08-27,114803.94168268978,94400.32309495746,3
2024-08-28,114465.02086196298,98395.29540644045,3
2024-08-29,114326.96792844267,82121.5625629756,5
2024-08-30,114431.43509183679,95006.60732732568,3
2024-09-02,114431.43509183679,95006.60732732568,3
2024-09-03,114177.32456952507,89859.68670636589,4
2024-09-04,112402.04160547795,72529.41542864384,7
2024-09-05,112750.23378495505,68116.10135392478,10
2024-09-06,111869.58007025947,65785.07025122871,10
2024-09-09,112146.57307219734,65785.07025122871,10
2024-09-10,112341.7185059987,61921.98588480576,10
2024-09-11,113176.2902146593,73310.28411305102,8
2024-09-12,113460.36741483887,95317.33130491455,3
2024-09-13,113768.21316829117,101651.3956023732,2
2024-09-16,113569.23931539257,90748.71726453502,4
2024-09-17,113557.63921839777,94459.83221060816,4
2024-09-18,113184.78866583887,94459.83221060816,4
2024-09-19,113769.40003640238,94459.83221060816,4
2024-09-20,113223.6118029822,94931.95229952227,3
2024-09-23,113296.4522251204,100711.87113610063,2
2024-09-24,113723.15118754652,94548.00526011732,3
2024-09-25,113188.43719686408,88474.35087026496,4
2024-09-26,113414.07309014401,84926.65607506833,5
2024-09-27,113781.26208963756,92802.11351480846,4
2024-09-30,113828.3671324309,97716.13727403246,3
2024-10-01,115314.39562800818,89236.1483602851,4
2024-10-02,114612.4578925641,78686.73889937715,6
2024-10-03,113989.5540153058,78686.73889937715,6
2024-10-04,114586.13592078711,86768.02020957496,5
2024-10-07,114343.96109321143,86768.02020957496,5
2024-10-08,114860.1692636931,101979.9298532927,2
2024-10-09,114858.03520891193,114858.03520891193,0
2024-10-10,114790.85212426873,104627.9839907238,2
2024-10-11,114964.04234095007,91990.60873957067,4
2024-10-14,114915.93658228307,91990.60873957067,4
2024-10-15,114611.64536066442,91990.60873957067,4
2024-10-16,114337.36294522614,69867.02249875397,7
2024-10-17,114214.09018037203,71169.83960053805,7
2024-10-18,114759.19766022958,67656.98146607674,8
2024-10-21,114296.58590549452,56872.23616451247,10
2024-10-22,113987.35737079603,56872.23616451247,10
2024-10-23,113288.87457267915,59480.8930663315,10
2024-10-24,114507.71713991578,49864.39307756837,10
2024-10-25,114976.23390295822,42489.69590475875,10
2024-10-28,115476.51692481633,35412.49656959172,10
2024-10-29,115455.56968017216,35412.49656959172,10
2024-10-30,115127.48721253264,26819.535830849294,10
2024-10-31,114005.18499533538,25335.988516968537,10
2024-11-01,115116.50817732564,29665.76511292211,10
2024-11-04,114868.30847202279,31034.360518321773,10
2024-11-05,115198.6817182573,28920.346937564245,10
2024-11-06,115435.10719908762,39197.006059065345,10
2024-11-07,116301.06134056505,40694.90413975176,10
2024-11-08,115602.80143983339,45760.44479997133,10
2024-11-11,115221.26581262873,47194.22934221551,10
2024-11-12,114640.7180287771,47194.22934221551,10
2024-11-13,113800.58937128844,49119.71301039519,10
2024-11-14,113416.05384479759,56142.8782485604,10
2024-11-15,112501.92525576512,57995.807119359175,10
2024-11-18,113875.62765392991,58781.67700943681,10
2024-11-19,113726.71885428163,58781.67700943681,10
2024-11-20,113725.70211489823,72657.31132205155,7
2024-11-21,114225.54437655125,83066.71418970737,5
2024-11-22,114536.78027800236,95996.4260237566,3
2024-11-25,114953.3704760922,105332.49132570157,1
2024-11-26,114707.39541716487,97808.2947930804,3
2024-11-27,114838.21570265053,93375.71744978188,4
2024-11-28,114877.86779844521,93375.71744978188,4
2024-11-29,115291.6903950524,92694.2518054795,4
2024-12-02,115384.40147303387,96713.6073202972,3
2024-12-03,115458.95441721722,96713.6073202972,3
2024-12-04,115474.47665632478,111016.56987846605,1
2024-12-05,115326.12543147459,84187.7435726489,5
2024-12-06,115197.96880240952,69449.29620643174,8
2024-12-09,115703.48583274624,57753.92954879544,10
2024-12-10,115951.44497543118,57753.92954879544,10
2024-12-11,115659.7030435159,57753.92954879544,10
2024-12-12,115563.5262442908,68024.4707804999,9
2024-12-13,115176.12084197273,72814.05896376839,8
2024-12-16,114320.44468505349,65984.34702880349,10
2024-12-17,113370.1391857256,61782.97769051685,10
2024-12-18,113130.00584714406,60107.14970319265,10
2024-12-19,112528.46188791373,44925.128376561195,10
2024-12-20,113560.57779749014,44925.128376561195,10
